term,tag,value
затаскать,NGTV,-0.73
затаскивать,NEUT,-0.27
затачивание,NEUT,0.19
затачивать,NEUT,0.17
затачиваться,NEUT,0.16
затащить,NEUT,0.23
затаённость,NEUT,-0.23
затвердевание,NEUT,0.0
затвердевать,NEUT,0.0
затвердение,NEUT,0.0
затвердеть,NEUT,0.0
затвердить,NEUT,0.27
затвор,NEUT,0.0
затворить,NEUT,0.11
затвориться,NEUT,-0.26
затворник,NGTV,-0.41
затворница,NGTV,-0.41
затворнический,NGTV,-0.36
затворничество,NGTV,-0.65
затворять,NEUT,0.1
затворяться,NEUT,-0.26
затевать,NEUT,0.21
затеваться,NEUT,-0.17
затейливость,NEUT,0.5
затейливый,PSTV,0.98
затейник,NEUT,0.49
затейница,PSTV,0.62
затекать,NGTV,-0.38
затем,NEUT,0.0
затемнение,NEUT,0.0
затемнить,NEUT,-0.21
затемно,NEUT,0.0
затемнять,NEUT,-0.11
затемняться,NEUT,-0.32
затенение,NEUT,-0.21
затенить,NEUT,-0.28
затенять,NEUT,-0.32
затеплить,PSTV,0.56
затеплиться,PSTV,0.57
затеребить,NGTV,-0.46
затереть,NEUT,-0.1
затереться,NEUT,-0.33
затерянность,NGTV,-0.43
затеряться,NGTV,-0.54
затесаться,NGTV,-0.36
затечь,NEUT,-0.15
затея,NEUT,0.47
затеять,NEUT,0.26
затеяться,NEUT,0.0
затирать,NGTV,-0.35
затискать,PSTV,0.78
затискивать,NGTV,-0.37
затихание,NEUT,0.14
затихать,NEUT,0.0
затихнуть,NEUT,-0.01
затишье,NEUT,0.18
заткнуть,NGTV,-0.72
заткнуться,NGTV,-1.0
затлеть,NGTV,-0.44
затмевать,NEUT,-0.29
затмеваться,NGTV,-0.49
затмение,NEUT,-0.04
затмить,NEUT,0.3
затмиться,NGTV,-0.42
затоваривание,NEUT,0.0
затовариться,NEUT,0.39
затолкать,NGTV,-0.45
затолкнуть,NEUT,-0.17
затонуть,NGTV,-0.9
затопать,NGTV,-0.56
затопить,NGTV,-0.8
затопление,NGTV,-1.0
затоплять,NGTV,-0.94
затопляться,NGTV,-0.9
затопотать,NGTV,-0.63
затоптать,NGTV,-0.75
затоптаться,NGTV,-0.46
затор,NGTV,-1.0
заторкать,NGTV,-0.9
затормаживать,NGTV,-0.47
затормаживаться,NGTV,-0.46
заторможенность,NGTV,-0.92
затормозить,NEUT,-0.1
затормозиться,NGTV,-0.4
затормошить,NEUT,-0.27
заторопить,NEUT,-0.25
заторопиться,NEUT,-0.01
затосковать,NGTV,-0.91
заточать,NGTV,-0.58
заточение,NGTV,-1.0
заточить,NEUT,0.23
заточка,NGTV,-0.55
затошнить,NGTV,-1.0
затравить,NGTV,-1.0
затравочный,NGTV,-0.54
затрагивание,NEUT,0.0
затрагивать,NEUT,0.06
затрапезный,NEUT,0.34
затрата,NGTV,-0.57
затратить,NEUT,-0.04
затрачивать,NEUT,-0.29
затребовать,NGTV,-0.39
затревожиться,NGTV,-0.9
затрезвонить,NGTV,-0.38
затрепетать,PSTV,0.57
затрепыхаться,NEUT,-0.31
затрещать,NEUT,-0.31
затрещина,NGTV,-1.0
затронуть,NEUT,0.0
затрубить,NEUT,0.14
затруднение,NGTV,-0.81
затруднительность,NGTV,-0.65
затруднительный,NGTV,-0.51
затруднить,NGTV,-0.73
затрудниться,NGTV,-0.47
затруднять,NGTV,-0.82
затрудняться,NGTV,-0.53
затруднённость,NGTV,-0.69
затруднённый,NGTV,-0.64
затрусить,NGTV,-0.72
затрясти,NEUT,-0.28
затрястись,NGTV,-0.42
затуманивание,NGTV,-0.49
затуманивать,NGTV,-0.66
затуманиваться,NEUT,-0.21
затуманить,NGTV,-0.74
затуманиться,NEUT,-0.24
затупить,NGTV,-0.96
затупиться,NGTV,-0.71
затухание,NGTV,-0.47
затухать,NGTV,-0.57
затухнуть,NGTV,-0.5
затушевать,NEUT,0.02
затушить,NEUT,0.22
затушёвывание,NEUT,0.24
затушёвывать,NEUT,0.0
затушёвываться,NGTV,-0.39
затхлость,NGTV,-1.0
затхлый,NGTV,-0.92
затыкание,NGTV,-0.76
затыкать,NGTV,-0.62
затыкаться,NGTV,-0.92
затылок,NEUT,0.09
затылочный,NEUT,0.0
затычка,NEUT,-0.06
затявкать,NGTV,-0.6
затягивание,NGTV,-0.44
затягивать,NGTV,-0.38
затягиваться,NGTV,-0.39
затяжка,NEUT,-0.3
затяжной,NGTV,-0.5
затянутость,NGTV,-0.58
затянутый,NGTV,-0.5
затянуть,NEUT,-0.32
затянуться,NEUT,-0.27
заулыбаться,PSTV,1.0
заулюлюкать,PSTV,0.61
заумность,NGTV,-0.73
заумный,NGTV,-0.54
заунывный,NGTV,-0.87
заупокойный,NGTV,-0.45
заупрямиться,NGTV,-0.72
заурчать,NEUT,0.44
заурядность,NGTV,-0.52
заурядный,NGTV,-0.51
заусенец,NGTV,-0.65
заусеница,NGTV,-0.63
заутреня,NEUT,0.41
заучивание,NEUT,0.37
заучивать,NEUT,0.46
заучиваться,NGTV,-0.35
заучить,NEUT,0.51
зафиксировать,NEUT,0.05
зафыркать,NGTV,-0.59
зафырчать,NGTV,-0.45
захаживать,NEUT,0.14
захандрить,NGTV,-1.0
захапать,NGTV,-0.92
захаркать,NGTV,-1.0
захваливание,NGTV,-0.48
захваливать,NEUT,0.43
захвалить,PSTV,0.68
захват,NGTV,-0.56
захватить,NGTV,-0.72
захватнический,NGTV,-0.93
захватный,NEUT,-0.3
захватчик,NGTV,-1.0
захватчица,NGTV,-1.0
захватывание,NEUT,-0.33
захватывать,NGTV,-0.51
захворать,NGTV,-1.0
захиреть,NGTV,-1.0
захихикать,PSTV,0.67
захламить,NGTV,-1.0
захламлять,NGTV,-0.92
захламлённость,NGTV,-1.0
захлебнуться,NGTV,-1.0
захлестать,NGTV,-0.74
захлестнуть,NEUT,-0.21
захлестнуться,NGTV,-0.36
захлопать,NEUT,0.49
захлопнуть,NGTV,-0.4
захлопнуться,NGTV,-0.53
захлопотать,NEUT,0.25
захлопотаться,NGTV,-0.36
захлопывать,NEUT,0.0
захлопываться,NEUT,-0.21
захлюпать,NGTV,-0.41
захлёб,NGTV,-0.44
захлёбывание,NGTV,-1.0
захлёбываться,NGTV,-0.97
захлёстывать,NEUT,-0.24
захмелеть,NGTV,-0.58
захныкать,NGTV,-0.9
заход,NEUT,0.18
заходить,NEUT,0.06
заходиться,NGTV,-0.55
захождение,NEUT,0.0
захожий,NEUT,0.15
захолодеть,NGTV,-0.92
захолустный,NGTV,-0.78
захолустье,NGTV,-0.87
захомутать,NGTV,-0.77
захоронение,NGTV,-0.53
захоронить,NGTV,-0.47
захотеть,NEUT,0.3
захотеться,NEUT,0.3
захохотать,PSTV,0.9
захрапеть,NGTV,-0.37
захрипеть,NGTV,-0.55
захромать,NGTV,-0.95
захрустеть,NEUT,0.0
захрюкать,NEUT,-0.27
захудалый,NGTV,-0.91
зацапать,NGTV,-0.78
зацвести,PSTV,0.68
зацветать,PSTV,0.72
зацеловать,PSTV,1.0
зацеловывать,PSTV,1.0
зацементировать,NEUT,0.06
зацепить,NEUT,0.12
зацепиться,NEUT,0.0
зацепка,PSTV,0.6
зацепление,NEUT,0.1
зацеплять,NEUT,0.0
зацепляться,NEUT,-0.07
зацепочка,NEUT,0.51
зацикленность,NGTV,-0.5
зацикливание,NGTV,-0.35
зацокать,NGTV,-0.44
зачавкать,NGTV,-1.0
зачаровать,PSTV,0.69
зачаровывать,PSTV,0.69
зачастить,NEUT,-0.23
зачастую,NEUT,0.0
зачатие,NEUT,0.31
зачаток,NEUT,0.0
зачаточный,NEUT,0.13
зачать,NEUT,0.46
зачаться,NEUT,0.49
зачахнуть,NGTV,-1.0
зачем,NEUT,0.0
зачем-либо,NEUT,0.0
зачем-нибудь,NEUT,0.0
зачем-то,NEUT,0.0
зачеркнуть,NEUT,-0.12
зачернеть,NGTV,-0.55
зачернить,NGTV,-0.67
зачерпнуть,NEUT,0.04
зачерпывать,NEUT,0.0
зачерствелый,NGTV,-0.82
зачерстветь,NGTV,-0.93
зачертить,NEUT,-0.03
зачесать,NEUT,0.0
зачесаться,NEUT,-0.1
зачесть,NEUT,0.44
зачесться,NEUT,0.4
зачехлить,NEUT,0.06
зачин,NEUT,0.37
зачинатель,NEUT,-0.29
зачинать,NEUT,0.29
зачинаться,NEUT,0.17
зачинить,NEUT,0.36
зачинщик,NGTV,-0.55
зачинщица,NGTV,-0.8
зачинщицкий,NGTV,-0.54
зачирикать,NEUT,0.34
зачисление,PSTV,0.57
зачислить,NEUT,0.52
зачислять,NEUT,0.43
зачисляться,NEUT,0.41
зачистить,NEUT,0.33
зачистка,NGTV,-0.4
зачитать,NEUT,0.09
зачитаться,NEUT,0.49
зачитывание,NEUT,0.1
зачитывать,NEUT,0.1
зачитываться,PSTV,0.64
зачихать,NGTV,-0.37
зачищать,PSTV,0.66
зачмокать,PSTV,0.66
зачёркивать,NGTV,-0.49
зачёс,NEUT,0.15
зачёсывать,NEUT,0.08
зачёт,PSTV,0.76
зачётка,NEUT,0.36
зачётный,PSTV,1.0
зашагать,NEUT,0.29
зашарить,NEUT,0.32
зашаркать,NGTV,-0.64
зашатать,NGTV,-0.56
зашататься,NEUT,-0.32
зашвыривать,NGTV,-0.61
зашвырнуть,NGTV,-0.6
зашевелить,NEUT,0.0
зашевелиться,NEUT,0.22
зашелестеть,NEUT,0.0
зашептать,NEUT,0.29
зашептаться,NEUT,-0.12
зашибать,NGTV,-0.75
зашибить,NGTV,-1.0
зашибиться,NGTV,-0.91
зашивание,NEUT,0.3
зашивать,NEUT,0.09
зашиваться,NGTV,-0.77
зашикать,NGTV,-0.65
зашипеть,NGTV,-0.84
зашить,NEUT,0.34
зашифровать,NEUT,0.0
зашифровка,NEUT,0.0
зашифровывать,NEUT,0.0
зашквар,NGTV,-1.0
зашлакованность,NGTV,-0.98
зашлифовывать,NEUT,0.0
зашлёпать,NGTV,-0.37
зашмыгать,NGTV,-0.52
зашнуровать,NEUT,0.22
зашнуровывать,NEUT,0.1
зашпынять,NGTV,-1.0
заштатный,NEUT,-0.19
заштопать,NEUT,0.44
заштопывать,NEUT,0.21
зашторить,NEUT,0.14
заштриховать,NEUT,0.0
заштриховывать,NEUT,0.0
зашуметь,NEUT,-0.09
зашуршать,NEUT,0.0
зашушукаться,NEUT,-0.16
защебетать,NEUT,0.52
защеголять,NEUT,-0.28
защекотать,NEUT,0.42
защемить,NGTV,-0.79
защемление,NGTV,-0.62
защемлять,NGTV,-0.8
защипать,NGTV,-0.57
защипнуть,NEUT,-0.16
защита,PSTV,0.92
защитительный,PSTV,0.79
защитить,PSTV,0.96
защититься,PSTV,0.67
защитник,PSTV,1.0
защитница,PSTV,0.99
защитный,PSTV,0.91
защищать,PSTV,1.0
защищаться,PSTV,0.7
защищённость,PSTV,1.0
защёлка,NEUT,0.0
защёлкать,NEUT,0.01
защёлкивать,NEUT,0.0
защёлкиваться,NEUT,0.0
защёлкнуть,NEUT,0.06
защёлкнуться,NEUT,0.0
заява,NGTV,-0.93
заявитель,NEUT,0.0
заявительница,NEUT,0.0
заявить,NEUT,0.1
заявиться,NEUT,-0.31
заявка,NEUT,0.0
заявление,NEUT,0.0
заявлять,NEUT,0.0
заявляться,NGTV,-0.41
заядлый,NEUT,-0.32
заяц,NEUT,0.44
заячий,NEUT,0.0
заём,NEUT,-0.08
заёмный,NEUT,-0.13
заёмщик,NEUT,-0.12
заёрзать,NEUT,-0.25
збагойный,PSTV,0.64
звание,NEUT,0.44
званый,PSTV,0.69
звать,NEUT,0.23
зваться,NEUT,0.11
звезда,NEUT,0.51
звездануть,NGTV,-0.94
звездолёт,NEUT,0.42
звездолётчик,NEUT,0.18
звездообразный,NEUT,0.19
звездопад,PSTV,0.62
звездоплаватель,NEUT,0.2
звездочёт,NEUT,0.16
звездчатый,NEUT,0.0
звенеть,NEUT,0.17
звено,NEUT,0.08
звереть,NGTV,-1.0
зверинец,NEUT,-0.26
звериный,NGTV,-0.41
зверобой,NEUT,-0.17
зверобойный,NGTV,-0.35
зверолов,NGTV,-0.65
звероподобный,NGTV,-0.6
звероферма,NEUT,0.0
зверски,NGTV,-0.9
зверский,NGTV,-0.92
зверство,NGTV,-1.0
зверствовать,NGTV,-1.0
зверушка,PSTV,0.82
зверь,NEUT,-0.1
зверьё,NGTV,-0.42
зверюга,NGTV,-0.77
зверёк,PSTV,0.84
зверёныш,NEUT,0.36
звон,NEUT,0.16
звонарь,NEUT,0.22
звонить,NEUT,0.11
звонкий,NEUT,0.46
звонкоголосый,PSTV,0.55
звонкость,NEUT,0.4
звоночек,NEUT,0.44
звук,NEUT,0.29
звуковой,NEUT,0.11
звукозаписывающий,NEUT,0.03
звукозапись,NEUT,0.16
звукоизвлечение,NEUT,0.02
звукоизоляционный,NEUT,0.21
звукоизоляция,NEUT,0.33
звуконепроницаемый,NEUT,0.02
звукооператор,NEUT,0.2
звукопись,NEUT,0.15
звукопоглощающий,NEUT,0.17
звукоподражание,NEUT,0.0
звукоподражательный,NEUT,0.0
звукорежиссёр,NEUT,0.36
звукоряд,NEUT,0.03
звукосочетание,NEUT,0.23
звучание,NEUT,0.32
звучанье,NEUT,0.32
звучать,NEUT,0.27
звучность,PSTV,0.7
звучный,PSTV,0.72
звякание,NEUT,0.0
звяканье,NEUT,-0.17
звякать,NEUT,0.13
звякнуть,NEUT,0.14
звёздность,NEUT,0.38
звёздный,PSTV,0.56
звёздочка,PSTV,0.73
здание,NEUT,0.1
зданьице,NEUT,0.42
здесь,NEUT,0.06
здешний,NEUT,0.25
здороваться,PSTV,0.87
здоровенный,NEUT,0.53
здороветь,PSTV,1.0
здоровский,PSTV,1.0
здоровущий,PSTV,0.74
здоровый,PSTV,1.0
здоровье,PSTV,0.92
здоровьице,PSTV,0.73
здоровяк,PSTV,0.69
здравие,PSTV,1.0
здравомыслие,PSTV,1.0
здравомыслящий,PSTV,1.0
здравоохранение,PSTV,0.69
здравость,PSTV,1.0
здравпункт,PSTV,0.65
здравствовать,PSTV,1.0
здравый,PSTV,1.0
зебра,NEUT,0.06
зев,NEUT,0.0
зевака,NGTV,-0.65
зевание,NEUT,0.03
зевать,NEUT,-0.01
зевнуть,NEUT,0.02
зевок,NEUT,0.06
зевота,NEUT,0.0
зек,NGTV,-1.0
зеленеть,NEUT,0.43
зеленной,NEUT,0.3
зеленоватый,NEUT,0.1
зеленоглазый,NEUT,0.42
зелень,NEUT,0.42
зелье,NEUT,-0.31
зельеварение,NEUT,0.0
зелёненький,NEUT,0.48
зелёнка,NEUT,0.34
зелёный,NEUT,0.26
земелька,NEUT,0.46
земельный,NEUT,0.0
землевладелец,NEUT,0.24
землевладельческий,NEUT,0.25
землевладение,NEUT,0.48
земледелец,NEUT,0.27
земледелие,NEUT,0.51
земледельческий,NEUT,0.29
землекоп,NEUT,0.24
землекопный,NEUT,0.0
землемер,NEUT,0.05
землемерный,NEUT,0.03
землепашество,NEUT,0.37
землепашец,NEUT,0.08
землепользование,NEUT,0.06
землепроходец,NEUT,0.43
землеройка,NEUT,0.18
землеройный,NEUT,0.06
землетрясение,NGTV,-0.97
землеустроительный,NEUT,0.06
землеустройство,NEUT,0.27
землечерпалка,NEUT,0.0
землистый,NEUT,-0.09
землица,NEUT,0.39
земля,NEUT,0.5
земляк,PSTV,0.64
земляника,PSTV,0.65
землянин,NEUT,0.35
земляничный,PSTV,0.56
землянка,NEUT,0.2
земляной,NEUT,0.04
земноводный,NEUT,0.13
земной,NEUT,0.23
земский,NEUT,0.0
зенит,NEUT,0.18
зенитка,NEUT,-0.27
зенитчик,NEUT,0.24
зенитчики,NEUT,0.14
зеркало,NEUT,0.08
зеркальность,NEUT,0.0
зеркальный,NEUT,0.0
зеркальце,NEUT,0.36
зернистость,NEUT,0.0
зернистый,NEUT,0.09
зерно,NEUT,0.29
зерновой,NEUT,0.19
зерноуборочный,NEUT,0.29
зернохранилище,NEUT,0.26
зефир,PSTV,0.61
зигзаг,NEUT,0.0
зигзагообразный,NEUT,0.0
зима,NEUT,0.44
зимний,NEUT,0.06
зимовать,NEUT,0.0
зимовка,NEUT,0.16
зимовщик,NEUT,0.04
зимовщики,NEUT,0.05
зимовье,NEUT,0.0
зимостойкий,PSTV,0.71
зимостойкость,PSTV,0.71
зияние,NEUT,-0.2
злак,PSTV,0.58
злаковый,NEUT,0.41
злато,NEUT,0.54
златовласый,NEUT,0.51
златой,PSTV,0.62
златокудрый,NEUT,0.52
златотканый,PSTV,0.6
златоуст,PSTV,0.9
злачный,NGTV,-0.82
злейший,NGTV,-1.0
злеть,NGTV,-1.0
злить,NGTV,-1.0
злиться,NGTV,-1.0
злоба,NGTV,-1.0
злобиться,NGTV,-0.97
злобность,NGTV,-1.0
злобный,NGTV,-1.0
злободневность,NGTV,-0.87
злободневный,NGTV,-0.81
злобствование,NGTV,-1.0
злобствовать,NGTV,-1.0
зловещий,NGTV,-1.0
зловоние,NGTV,-1.0
зловонность,NGTV,-1.0
зловонный,NGTV,-1.0
зловредность,NGTV,-1.0
зловредный,NGTV,-1.0
злодей,NGTV,-1.0
злодейка,NGTV,-1.0
злодейски,NGTV,-1.0
злодейский,NGTV,-1.0
злодейство,NGTV,-1.0
злодействовать,NGTV,-1.0
злодеяние,NGTV,-1.0
злой,NGTV,-1.0
злокачественность,NGTV,-1.0
злокачественный,NGTV,-1.0
злоключение,NGTV,-0.96
злонамеренность,NGTV,-1.0
злонамеренный,NGTV,-1.0
злонравие,NGTV,-1.0
злопамятность,NGTV,-1.0
злопамятный,NGTV,-1.0
злопамятство,NGTV,-1.0
злополучие,NGTV,-1.0
злополучный,NGTV,-1.0
злорадный,NGTV,-1.0
злорадство,NGTV,-1.0
злорадствовать,NGTV,-1.0
злоречивый,NGTV,-1.0
злоречие,NGTV,-1.0
злословие,NGTV,-1.0
злословить,NGTV,-1.0
злостность,NGTV,-1.0
злостный,NGTV,-1.0
злострадание,NGTV,-1.0
злость,NGTV,-1.0
злосчастный,NGTV,-1.0
злотые,PSTV,0.58
злоумышление,NGTV,-1.0
злоумышленник,NGTV,-1.0
злоумышленница,NGTV,-1.0
злоумышленный,NGTV,-1.0
злоумышлять,NGTV,-1.0
злоупотребить,NGTV,-1.0
злоупотребление,NGTV,-1.0
злоупотреблять,NGTV,-1.0
злоязычие,NGTV,-1.0
злюка,NGTV,-0.96
злючка,NGTV,-1.0
злющий,NGTV,-1.0
змеевидный,NEUT,-0.23
змеелов,NEUT,0.24
змееподобный,NGTV,-0.52
змеиный,NGTV,-0.37
змеистый,NGTV,-0.5
змеиться,NGTV,-0.67
змейка,NEUT,0.13
змеюка,NGTV,-0.97
змеёныш,NGTV,-0.6
змий,NGTV,-0.66
знайка,PSTV,0.71
знак,NEUT,0.0
знаковый,NEUT,0.54
знакомец,NEUT,0.45
знакомить,NEUT,0.27
знакомиться,PSTV,0.67
знакомость,NEUT,0.32
знакомство,PSTV,0.61
знакомый,NEUT,0.52
знаменатель,NEUT,0.0
знаменательный,PSTV,1.0
знамение,NEUT,0.43
знаменитость,PSTV,0.58
знаменитый,PSTV,0.77
знаменный,PSTV,0.76
знаменование,NEUT,0.41
знаменовать,PSTV,0.74
знаменоваться,NEUT,0.44
знаменосец,NEUT,0.49
знаменщик,NEUT,0.45
знамя,NEUT,0.49
знание,PSTV,0.87
знатность,PSTV,0.58
знатный,PSTV,0.71
знаток,PSTV,1.0
знать,PSTV,0.74
знахарить,NEUT,0.43
знахарка,NEUT,0.45
знахарский,NEUT,0.05
знахарство,NEUT,0.43
значение,NEUT,0.0
значимость,PSTV,0.63
значимый,PSTV,0.9
значительность,PSTV,0.81
значительный,PSTV,0.68
значить,NEUT,0.36
значиться,NEUT,0.18
значок,NEUT,0.12
знобить,NGTV,-0.91
зной,NGTV,-0.6
знойное,NGTV,-0.52
знойный,NEUT,-0.32
зов,NEUT,0.0
зодиак,NEUT,0.02
зодчество,NEUT,0.37
зола,NEUT,0.0
золотистость,NEUT,0.47
золотистый,NEUT,0.36
золотить,PSTV,0.6
золотиться,PSTV,0.69
золотишко,PSTV,0.56
золото,NEUT,0.47
золотовалютный,NEUT,0.32
золотоволосый,PSTV,0.56
золотодобывающий,NEUT,0.35
золотодобытчик,NEUT,0.28
золотодобыча,NEUT,0.41
золотоискатель,NEUT,0.3
золотой,PSTV,0.66
золотоносный,PSTV,0.84
золотопромышленник,NEUT,0.31
золотуха,NGTV,-0.87
золотце,PSTV,0.93
золочение,NEUT,0.36
золочёный,NEUT,0.5
золушка,PSTV,0.81
зомбак,NGTV,-0.93
зомби,NGTV,-1.0
зомбирование,NGTV,-1.0
зомбоящик,NGTV,-1.0
зона,NEUT,0.0
зонд,NEUT,0.0
зондирование,NEUT,0.12
зонт,NEUT,0.44
зонтик,NEUT,0.38
зонтиковидный,NEUT,0.0
зоолог,NEUT,0.42
зоологический,NEUT,0.2
зоология,NEUT,0.31
зоомагазин,NEUT,0.34
зоопарк,NEUT,0.54
зоопсихолог,PSTV,0.55
зоопсихология,NEUT,0.4
зоосад,NEUT,0.53
зоркий,PSTV,1.0
зоркость,PSTV,0.91
зорька,PSTV,0.61
зоря,NEUT,0.44
зраза,NEUT,0.34
зрачок,NEUT,0.05
зрелище,NEUT,0.47
зрелищность,NEUT,0.54
зрелищный,PSTV,0.99
зрелость,PSTV,0.63
зрелый,PSTV,0.6
зрение,NEUT,0.43
зреть,NEUT,0.35
зримость,NEUT,0.4
зритель,NEUT,0.0
зрительница,NEUT,0.1
зрительный,NEUT,0.0
зрительский,NEUT,0.01
зрячесть,PSTV,0.67
зрячий,PSTV,0.8
зуб,NEUT,0.15
зубастый,NEUT,-0.08
зубатый,NEUT,-0.33
зубец,NEUT,0.0
зубик,NEUT,0.4
зубило,NEUT,0.0
зубной,NEUT,0.25
зубоврачебный,NEUT,0.36
зубодробительный,NGTV,-0.8
зубодёр,NGTV,-0.69
зубок,NEUT,0.07
зубоскалить,NGTV,-1.0
зубоскальничать,NGTV,-1.0
зубоскальство,NGTV,-1.0
зубочистка,NEUT,0.0
зубр,NEUT,0.28
зубрила,NGTV,-0.62
зубрилка,NGTV,-0.9
зубрить,NEUT,0.24
зубрёжка,NGTV,-0.45
зубчатый,NEUT,0.0
зубчик,NEUT,0.0
зуд,NGTV,-1.0
зудение,NGTV,-1.0
зудеть,NGTV,-1.0
зуммер,NEUT,-0.05
зыбкий,NGTV,-0.39
зыбкость,NGTV,-0.42
зыбучий,NGTV,-0.5
зыбь,NEUT,-0.17
зэк,NGTV,-1.0
зябкий,NGTV,-0.69
зябкость,NGTV,-0.75
зяблик,NEUT,0.2
зябнуть,NGTV,-1.0
зябь,NEUT,-0.34
зять,NEUT,0.09
зятёк,NEUT,0.46
зёрнышко,PSTV,0.63
ибупрофен,NEUT,0.32
ива,NEUT,0.25
иван-чай,NEUT,0.46
ивовый,NEUT,0.25
иволга,NEUT,0.41
иврит,NEUT,0.0
игла,NEUT,-0.1
иглообразный,NEUT,-0.09
иглотерапия,NEUT,0.49
иглоукалывание,NEUT,0.39
игнор,NGTV,-0.91
игнорирование,NGTV,-0.92
игнорировать,NGTV,-0.77
иго,NGTV,-0.89
иголка,NEUT,0.0
иголочка,NEUT,0.0
иголочный,NEUT,-0.11
игольник,NEUT,0.01
игольный,NEUT,-0.06
игольчатый,NEUT,0.0
игорный,NEUT,-0.16
игра,PSTV,0.61
игральный,NEUT,0.28
играние,NEUT,0.43
играть,PSTV,0.63
играться,PSTV,0.56
играючи,PSTV,1.0
игривость,PSTV,0.98
игривый,PSTV,0.92
игристый,PSTV,0.57
игрище,NEUT,0.24
игровой,NEUT,0.32
игрок,NEUT,0.14
игроман,NGTV,-0.63
игромания,NGTV,-0.89
игротека,NEUT,0.0
игрушечка,PSTV,0.84
игрушечный,NEUT,0.52
игрушка,PSTV,0.63
игуана,NEUT,0.32
идеал,PSTV,0.97
идеализация,NEUT,0.43
идеализирование,NEUT,0.42
идеализировать,NEUT,0.45
идеализм,NEUT,0.5
идеалист,NEUT,0.44
идеалистический,PSTV,0.62
идеалистка,PSTV,0.8
идеальность,PSTV,1.0
идеальный,PSTV,1.0
идейка,PSTV,0.63
идейность,NEUT,0.45
идейный,NEUT,0.48
идентификатор,NEUT,0.15
идентификация,NEUT,0.02
идентифицировать,NEUT,0.15
идентифицироваться,NEUT,0.28
идентичность,NEUT,0.2
идентичный,NEUT,0.0
идеологизация,NEUT,-0.25
идеологически,NEUT,0.35
идеологический,NEUT,0.07
идеология,NEUT,0.33
идея,PSTV,0.71
идиллия,PSTV,1.0
идиот,NGTV,-0.97
идиотизм,NGTV,-1.0
идиотически,NGTV,-0.93
идиотический,NGTV,-1.0
идиотично,NGTV,-1.0
идиотски,NGTV,-1.0
идиотский,NGTV,-1.0
идиотство,NGTV,-1.0
идол,NEUT,0.39
идолопоклонник,NGTV,-0.43
идолопоклонство,NGTV,-0.49
идти,NEUT,0.09
иерархически,NEUT,-0.07
иерархический,NEUT,-0.02
иерархичность,NEUT,-0.15
иерархия,NEUT,0.01
иероглиф,NEUT,0.12
иероглифика,NEUT,0.24
иероглифический,NEUT,0.02
изба,NEUT,0.35
избавитель,PSTV,0.72
избавительница,PSTV,0.67
избавить,NEUT,0.32
избавиться,NGTV,-0.46
избавление,NEUT,0.5
избавлять,NEUT,0.3
избавляться,NGTV,-0.49
избалованность,NGTV,-1.0
избаловать,NGTV,-0.91
избаловаться,NGTV,-0.95
избаловывать,NGTV,-1.0
избегание,NGTV,-0.65
избегать,NGTV,-0.45
избегаться,NGTV,-0.58
избегнуть,NEUT,-0.33
избежание,NEUT,-0.2
избежать,NEUT,0.38
избивать,NGTV,-1.0
избиваться,NGTV,-0.93
избиение,NGTV,-1.0
избиратель,NEUT,0.39
избирательность,NEUT,0.48
избирательный,NEUT,0.48
избирать,NEUT,0.11
избитость,NGTV,-1.0
избить,NGTV,-1.0
изблизи,NEUT,0.0
изблёвывать,NGTV,-1.0
избороздить,NEUT,-0.17
избрание,NEUT,0.31
избранник,PSTV,0.8
избранница,PSTV,0.96
избранность,PSTV,0.64
избрать,NEUT,0.39
избушка,NEUT,0.02
избывать,NGTV,-0.51
избыток,NEUT,0.38
избыточность,NGTV,-0.51
избыточный,NGTV,-0.46
избёнка,NEUT,0.1
извалять,NGTV,-0.5
изваляться,NGTV,-0.65
изваяние,NEUT,0.15
изваять,NEUT,0.46
изведать,NEUT,0.44
извергать,NGTV,-0.46
извергаться,NGTV,-0.5
извергнуть,NGTV,-0.5
извергнуться,NGTV,-0.47
извержение,NGTV,-0.57
извернуться,NEUT,-0.06
извертеться,NGTV,-0.41
известие,NEUT,0.0
известись,NGTV,-0.54
известить,NEUT,0.0
известковый,NEUT,0.0
известнейший,PSTV,0.83
известность,NEUT,0.46
известный,PSTV,0.6
известняк,NEUT,0.09
известняковый,NEUT,-0.08
известь,NEUT,0.0
изветшалый,NGTV,-0.8
извечный,NEUT,0.23
извещать,NEUT,0.25
извещение,NEUT,0.0
извиваться,NEUT,0.0
извилина,NEUT,0.31
извилистость,NEUT,-0.01
извилистый,NEUT,0.0
извинение,PSTV,0.91
извинительный,NEUT,0.47
извинить,PSTV,1.0
извиниться,PSTV,1.0
извинять,PSTV,0.78
извиняться,PSTV,0.89
извиняюще,NEUT,0.5
извлекать,NEUT,0.1
извлекаться,NEUT,0.0
извлечение,NEUT,-0.12
извлечь,NEUT,0.24
извне,NEUT,0.0
изводить,NGTV,-1.0
изводиться,NGTV,-1.0
извоз,NEUT,0.05
извозить,NGTV,-0.38
извозиться,NGTV,-0.89
извозчик,NEUT,0.12
изволение,NEUT,0.34
изволить,NEUT,0.44
изворачиваться,NGTV,-0.73
изворот,NGTV,-0.42
изворотливость,NGTV,-0.52
изворотливый,NGTV,-0.39
